img_ID,predict,gt
5823,0.29151413,0.3
2140,-0.6370451,-0.6
8247,-0.036870535,0
4757,0.031425808,0
3333,-0.57973623,-0.6
1837,0.3301604,0.3
249,0.010137684,0
6061,0.00448831,0
7154,0.0017482056,0
5784,0.0023962744,0
6171,-0.024189241,0
7072,-0.2517507,-0.3
5954,-0.022003677,0
1291,0.55897576,0.6
8088,-0.010046557,0
1042,0.5603332,0.6
1641,-0.029730685,0
3300,-0.58228934,-0.6
3906,0.48985872,0.6
7383,-0.22866078,-0.3
8629,-0.005982321,0
4012,0.002837427,0
3819,0.6599575,0.6
8395,-0.2746568,-0.3
5585,0.3004432,0.3
2533,0.0051465565,0
3832,0.5809487,0.6
5164,0.016807858,0
7833,-0.0073079807,0
621,-0.00984808,0
4135,-0.2904757,-0.3
5924,0.30361804,0.3
1751,0.30896094,0.3
1713,0.019428816,0
571,0.0003841468,0
2384,-0.000106784515,0
5135,-0.009232695,0
8019,0.3641159,0.3
5043,0.31000364,0.3
6037,0.022277325,0
5921,0.30361804,0.3
109,0.020533651,0
275,0.01730568,0
2843,0.033473104,0
6768,0.0036820956,0
1147,0.30874017,0.3
8112,-0.0014180136,0
1742,0.25486588,0.3
4352,0.042025533,0
243,0.020276621,0
1250,0.28645858,0.3
7799,0.010845014,0
5129,-0.04489978,0
3804,0.57363623,0.6
3064,0.015550048,0
4841,-0.29472727,-0.3
3952,-0.010216154,0
8166,-0.0042916588,0
4187,-0.593314,-0.6
3093,-0.36541486,-0.3
7141,-0.010924592,0
8343,-0.009270594,0
6272,0.017998915,0
939,0.3374563,0.3
8271,0.006045485,0
7277,-0.017127912,0
4593,-0.011952244,0
889,0.0064212997,0
5417,0.01279099,0
1034,0.3301904,0.3
3529,0.028336909,0
4223,0.019199762,0
5611,0.5934222,0.6
1401,0.31766006,0.3
5996,-0.0025414983,0
8508,0.010478412,0
7842,-0.010601424,0
5339,0.2826953,0.3
4156,-0.3030272,-0.3
383,0.0024604583,0
4602,0.009513454,0
5623,0.4514316,0.6
61,0.021209482,0
3073,-0.28562087,-0.3
2605,0.0028023282,0
3316,-0.5736419,-0.6
8462,-0.56591874,-0.6
6480,-0.20239568,0
6030,-0.30260915,-0.3
2069,-0.32990927,-0.3
1119,0.31853163,0.3
2928,-0.26741403,-0.3
3975,-0.00092064263,0
1319,-0.011893217,0
5171,-0.008561541,0
3524,-0.044892352,-0.3
7482,-0.2878588,-0.3
3143,0.29458308,0.3
5124,-0.006398022,0
7843,-0.010601424,0
3717,0.2710727,0.3
6649,-0.5893854,-0.6
4812,-0.28401002,-0.3
833,0.02174848,0
7686,-0.02512651,0
